X;Result
-10,00000000;1,83816390
-9,99900000;1,84100430
-9,99800000;1,84385533
-9,99700000;1,84671706
-9,99600000;1,84958953
-9,99500000;1,85247281
-9,99400000;1,85536696
-9,99300000;1,85827202
-9,99200000;1,86118806
-9,99100000;1,86411513
-9,99000000;1,86705329
-9,98900000;1,87000260
-9,98800000;1,87296312
-9,98700000;1,87593491
-9,98600000;1,87891803
-9,98500000;1,88191253
-9,98400000;1,88491848
-9,98300000;1,88793594
-9,98200000;1,89096497
-9,98100000;1,89400563
-9,98000000;1,89705799
-9,97900000;1,90012211
-9,97800000;1,90319804
-9,97700000;1,90628767
-9,97600000;1,90938743
-9,97500000;1,91249921
-9,97400000;1,91562307
-9,97300000;1,91875906
-9,97200000;1,92190727
-9,97100000;1,92506776
-9,97000000;1,92824059
-9,96900000;1,93142582
-9,96800000;1,93462354
-9,96700000;1,93783381
-9,96600000;1,94105669
-9,96500000;1,94429225
-9,96400000;1,94754057
-9,96300000;1,95080172
-9,96200000;1,95407577
-9,96100000;1,95736278
-9,96000000;1,96066283
-9,95900000;1,96397600
-9,95800000;1,96730236
-9,95700000;1,97064198
-9,95600000;1,97399493
-9,95500000;1,97736129
-9,95400000;1,98074113
-9,95300000;1,98413454
-9,95200000;1,98754159
-9,95100000;1,99096235
-9,95000000;1,99439691
-9,94900000;1,99784533
-9,94800000;2,00130771
-9,94700000;2,00478412
-9,94600000;2,00827463
-9,94500000;2,01177934
-9,94400000;2,01529832
-9,94300000;2,01883166
-9,94200000;2,02237943
-9,94100000;2,02594173
-9,94000000;2,02951863
-9,93900000;2,03311022
-9,93800000;2,03671658
-9,93700000;2,04033780
-9,93600000;2,04397397
-9,93500000;2,04762518
-9,93400000;2,05129151
-9,93300000;2,05497305
-9,93200000;2,05866989
-9,93100000;2,06238213
-9,93000000;2,06610984
-9,92900000;2,06985313
-9,92800000;2,07361208
-9,92700000;2,07738680
-9,92600000;2,08117736
-9,92500000;2,08498388
-9,92400000;2,08880643
-9,92300000;2,09264513
-9,92200000;2,09650006
-9,92100000;2,10037132
-9,92000000;2,10425901
-9,91900000;2,10816324
-9,91800000;2,11208409
-9,91700000;2,11602168
-9,91600000;2,11997610
-9,91500000;2,12394746
-9,91400000;2,12793586
-9,91300000;2,13194139
-9,91200000;2,13596418
-9,91100000;2,14000432
-9,91000000;2,14406192
-9,90900000;2,14813709
-9,90800000;2,15222994
-9,90700000;2,15634057
-9,90600000;2,16046910
-9,90500000;2,16461564
-9,90400000;2,16878030
-9,90300000;2,17296319
-9,90200000;2,17716443
-9,90100000;2,18138414
-9,90000000;2,18562242
-9,89900000;2,18987940
-9,89800000;2,19415519
-9,89700000;2,19844991
-9,89600000;2,20276368
-9,89500000;2,20709663
-9,89400000;2,21144888
-9,89300000;2,21582054
-9,89200000;2,22021175
-9,89100000;2,22462263
-9,89000000;2,22905329
-9,88900000;2,23350389
-9,88800000;2,23797453
-9,88700000;2,24246535
-9,88600000;2,24697648
-9,88500000;2,25150806
-9,88400000;2,25606021
-9,88300000;2,26063307
-9,88200000;2,26522678
-9,88100000;2,26984146
-9,88000000;2,27447727
-9,87900000;2,27913434
-9,87800000;2,28381280
-9,87700000;2,28851281
-9,87600000;2,29323449
-9,87500000;2,29797801
-9,87400000;2,30274349
-9,87300000;2,30753110
-9,87200000;2,31234097
-9,87100000;2,31717325
-9,87000000;2,32202811
-9,86900000;2,32690568
-9,86800000;2,33180612
-9,86700000;2,33672959
-9,86600000;2,34167624
-9,86500000;2,34664622
-9,86400000;2,35163971
-9,86300000;2,35665686
-9,86200000;2,36169782
-9,86100000;2,36676277
-9,86000000;2,37185187
-9,85900000;2,37696528
-9,85800000;2,38210318
-9,85700000;2,38726572
-9,85600000;2,39245310
-9,85500000;2,39766546
-9,85400000;2,40290300
-9,85300000;2,40816588
-9,85200000;2,41345428
-9,85100000;2,41876839
-9,85000000;2,42410838
-9,84900000;2,42947444
-9,84800000;2,43486674
-9,84700000;2,44028548
-9,84600000;2,44573085
-9,84500000;2,45120303
-9,84400000;2,45670221
-9,84300000;2,46222859
-9,84200000;2,46778236
-9,84100000;2,47336373
-9,84000000;2,47897288
-9,83900000;2,48461002
-9,83800000;2,49027535
-9,83700000;2,49596908
-9,83600000;2,50169141
