X;Result
-10,00000000;-1,19179340
-9,99900000;-1,19102178
-9,99800000;-1,19025236
-9,99700000;-1,18948511
-9,99600000;-1,18872004
-9,99500000;-1,18795714
-9,99400000;-1,18719641
-9,99300000;-1,18643784
-9,99200000;-1,18568142
-9,99100000;-1,18492714
-9,99000000;-1,18417502
-9,98900000;-1,18342502
-9,98800000;-1,18267716
-9,98700000;-1,18193143
-9,98600000;-1,18118781
-9,98500000;-1,18044631
-9,98400000;-1,17970692
-9,98300000;-1,17896963
-9,98200000;-1,17823444
-9,98100000;-1,17750135
-9,98000000;-1,17677034
-9,97900000;-1,17604141
-9,97800000;-1,17531456
-9,97700000;-1,17458979
-9,97600000;-1,17386708
-9,97500000;-1,17314643
-9,97400000;-1,17242784
-9,97300000;-1,17171129
-9,97200000;-1,17099680
-9,97100000;-1,17028434
-9,97000000;-1,16957392
-9,96900000;-1,16886553
-9,96800000;-1,16815916
-9,96700000;-1,16745482
-9,96600000;-1,16675249
-9,96500000;-1,16605217
-9,96400000;-1,16535385
-9,96300000;-1,16465753
-9,96200000;-1,16396321
-9,96100000;-1,16327088
-9,96000000;-1,16258053
-9,95900000;-1,16189217
-9,95800000;-1,16120578
-9,95700000;-1,16052136
-9,95600000;-1,15983890
-9,95500000;-1,15915841
-9,95400000;-1,15847987
-9,95300000;-1,15780328
-9,95200000;-1,15712864
-9,95100000;-1,15645594
-9,95000000;-1,15578517
-9,94900000;-1,15511634
-9,94800000;-1,15444944
-9,94700000;-1,15378446
-9,94600000;-1,15312140
-9,94500000;-1,15246025
-9,94400000;-1,15180101
-9,94300000;-1,15114367
-9,94200000;-1,15048823
-9,94100000;-1,14983469
-9,94000000;-1,14918304
-9,93900000;-1,14853328
-9,93800000;-1,14788539
-9,93700000;-1,14723939
-9,93600000;-1,14659525
-9,93500000;-1,14595299
-9,93400000;-1,14531259
-9,93300000;-1,14467405
-9,93200000;-1,14403736
-9,93100000;-1,14340252
-9,93000000;-1,14276953
-9,92900000;-1,14213838
-9,92800000;-1,14150907
-9,92700000;-1,14088160
-9,92600000;-1,14025595
-9,92500000;-1,13963213
-9,92400000;-1,13901012
-9,92300000;-1,13838994
-9,92200000;-1,13777156
-9,92100000;-1,13715500
-9,92000000;-1,13654023
-9,91900000;-1,13592727
-9,91800000;-1,13531610
-9,91700000;-1,13470673
-9,91600000;-1,13409914
-9,91500000;-1,13349334
-9,91400000;-1,13288931
-9,91300000;-1,13228706
-9,91200000;-1,13168658
-9,91100000;-1,13108787
-9,91000000;-1,13049092
-9,90900000;-1,12989573
-9,90800000;-1,12930229
-9,90700000;-1,12871061
-9,90600000;-1,12812067
-9,90500000;-1,12753247
-9,90400000;-1,12694602
-9,90300000;-1,12636130
-9,90200000;-1,12577831
-9,90100000;-1,12519705
-9,90000000;-1,12461752
-9,89900000;-1,12403970
-9,89800000;-1,12346360
-9,89700000;-1,12288922
-9,89600000;-1,12231654
-9,89500000;-1,12174557
-9,89400000;-1,12117630
-9,89300000;-1,12060872
-9,89200000;-1,12004284
-9,89100000;-1,11947865
-9,89000000;-1,11891615
-9,88900000;-1,11835533
-9,88800000;-1,11779619
-9,88700000;-1,11723872
-9,88600000;-1,11668292
-9,88500000;-1,11612880
-9,88400000;-1,11557634
-9,88300000;-1,11502554
-9,88200000;-1,11447639
-9,88100000;-1,11392891
-9,88000000;-1,11338307
-9,87900000;-1,11283888
-9,87800000;-1,11229633
-9,87700000;-1,11175542
-9,87600000;-1,11121615
-9,87500000;-1,11067851
-9,87400000;-1,11014250
-9,87300000;-1,10960812
-9,87200000;-1,10907536
-9,87100000;-1,10854422
-9,87000000;-1,10801470
-9,86900000;-1,10748678
-9,86800000;-1,10696048
-9,86700000;-1,10643579
-9,86600000;-1,10591269
-9,86500000;-1,10539120
-9,86400000;-1,10487130
-9,86300000;-1,10435299
-9,86200000;-1,10383628
-9,86100000;-1,10332114
-9,86000000;-1,10280760
-9,85900000;-1,10229563
-9,85800000;-1,10178524
-9,85700000;-1,10127642
-9,85600000;-1,10076917
-9,85500000;-1,10026349
-9,85400000;-1,09975937
-9,85300000;-1,09925681
-9,85200000;-1,09875581
-9,85100000;-1,09825637
-9,85000000;-1,09775847
-9,84900000;-1,09726212
-9,84800000;-1,09676732
-9,84700000;-1,09627406
-9,84600000;-1,09578234
-9,84500000;-1,09529215
-9,84400000;-1,09480350
-9,84300000;-1,09431638
-9,84200000;-1,09383078
-9,84100000;-1,09334671
-9,84000000;-1,09286415
-9,83900000;-1,09238312
-9,83800000;-1,09190360
-9,83700000;-1,09142559
-9,83600000;-1,09094909
-9,83500000;-1,09047410
-9,83400000;-1,09000061
-9,83300000;-1,08952862
-9,83200000;-1,08905812
-9,83100000;-1,08858912
-9,83000000;-1,08812162
-9,82900000;-1,08765560
-9,82800000;-1,08719106
-9,82700000;-1,08672801
-9,82600000;-1,08626644
-9,82500000;-1,08580635
-9,82400000;-1,08534773
-9,82300000;-1,08489058
-9,82200000;-1,08443490
-9,82100000;-1,08398069
-9,82000000;-1,08352794
-9,81900000;-1,08307666
-9,81800000;-1,08262683
-9,81700000;-1,08217845
-9,81600000;-1,08173153
-9,81500000;-1,08128606
-9,81400000;-1,08084203
-9,81300000;-1,08039945
-9,81200000;-1,07995831
-9,81100000;-1,07951861
-9,81000000;-1,07908035
-9,80900000;-1,07864352
-9,80800000;-1,07820812
-9,80700000;-1,07777415
-9,80600000;-1,07734161
-9,80500000;-1,07691049
-9,80400000;-1,07648079
-9,80300000;-1,07605251
-9,80200000;-1,07562564
-9,80100000;-1,07520019
-9,80000000;-1,07477615
-9,79900000;-1,07435352
-9,79800000;-1,07393229
-9,79700000;-1,07351247
-9,79600000;-1,07309405
-9,79500000;-1,07267702
-9,79400000;-1,07226140
-9,79300000;-1,07184716
-9,79200000;-1,07143432
-9,79100000;-1,07102286
-9,79000000;-1,07061279
-9,78900000;-1,07020411
-9,78800000;-1,06979680
-9,78700000;-1,06939088
-9,78600000;-1,06898633
-9,78500000;-1,06858315
-9,78400000;-1,06818135
-9,78300000;-1,06778092
-9,78200000;-1,06738185
-9,78100000;-1,06698415
-9,78000000;-1,06658781
-9,77900000;-1,06619283
-9,77800000;-1,06579921
-9,77700000;-1,06540694
-9,77600000;-1,06501603
-9,77500000;-1,06462647
-9,77400000;-1,06423826
-9,77300000;-1,06385139
-9,77200000;-1,06346587
-9,77100000;-1,06308169
-9,77000000;-1,06269885
-9,76900000;-1,06231735
-9,76800000;-1,06193718
-9,76700000;-1,06155834
-9,76600000;-1,06118084
-9,76500000;-1,06080467
-9,76400000;-1,06042982
-9,76300000;-1,06005630
-9,76200000;-1,05968410
-9,76100000;-1,05931321
-9,76000000;-1,05894365
-9,75900000;-1,05857541
-9,75800000;-1,05820847
-9,75700000;-1,05784285
-9,75600000;-1,05747854
-9,75500000;-1,05711554
-9,75400000;-1,05675384
-9,75300000;-1,05639344
-9,75200000;-1,05603435
-9,75100000;-1,05567656
-9,75000000;-1,05532006
-9,74900000;-1,05496486
-9,74800000;-1,05461095
-9,74700000;-1,05425834
-9,74600000;-1,05390701
-9,74500000;-1,05355697
-9,74400000;-1,05320821
-9,74300000;-1,05286074
-9,74200000;-1,05251455
-9,74100000;-1,05216964
-9,74000000;-1,05182601
-9,73900000;-1,05148365
-9,73800000;-1,05114257
-9,73700000;-1,05080275
-9,73600000;-1,05046421
-9,73500000;-1,05012694
-9,73400000;-1,04979093
-9,73300000;-1,04945618
-9,73200000;-1,04912270
-9,73100000;-1,04879048
-9,73000000;-1,04846006
-9,72900000;-1,04813035
-9,72800000;-1,04780190
-9,72700000;-1,04747470
-9,72600000;-1,04714874
-9,72500000;-1,04682404
-9,72400000;-1,04650059
-9,72300000;-1,04617838
-9,72200000;-1,04585741
-9,72100000;-1,04553769
-9,72000000;-1,04521921
-9,71900000;-1,04490197
-9,71800000;-1,04458596
-9,71700000;-1,04427119
-9,71600000;-1,04395765
-9,71500000;-1,04364534
-9,71400000;-1,04333426
-9,71300000;-1,04302441
-9,71200000;-1,04271579
-9,71100000;-1,04240839
