X;Result
-10,00000000;-0,83907160
-9,90000000;-0,88919120
-9,80000000;-0,93042630
-9,70000000;-0,96236446
-9,60000000;-0,98468759
-9,50000000;-0,99717199
-9,40000000;-0,99969294
-9,30000000;-0,99222526
-9,20000000;-0,97484358
-9,10000000;-0,94772158
-9,00000000;-0,91113062
-8,90000000;-0,86543543
-8,80000000;-0,81109315
-8,70000000;-0,74864672
-8,60000000;-0,67872009
-8,50000000;-0,60201193
-8,40000000;-0,51928819
-8,30000000;-0,43137657
-8,20000000;-0,33915470
-8,10000000;-0,24354406
-8,00000000;-0,14549998
-7,90000000;-0,04600210
-7,80000000;0,05395544
-7,70000000;0,15337353
-7,60000000;0,25125966
-7,50000000;0,34663522
-7,40000000;0,43854727
-7,30000000;0,52607749
-7,20000000;0,60835130
-7,10000000;0,68454702
-7,00000000;0,75390244
-6,90000000;0,81572519
-6,80000000;0,86939754
-6,70000000;0,91438317
-6,60000000;0,95023260
-6,50000000;0,97658732
-6,40000000;0,99318478
-6,30000000;0,99985857
-6,20000000;0,99654207
-6,10000000;0,98326843
-6,00000000;0,96017069
-5,90000000;0,92747860
-5,80000000;0,88551958
-5,70000000;0,83471281
-5,60000000;0,77556589
-5,50000000;0,70866945
-5,40000000;0,63469278
-5,30000000;0,55437431
-5,20000000;0,46851667
-5,10000000;0,37797800
-5,00000000;0,28366222
-4,90000000;0,18651237
-4,80000000;0,08749894
-4,70000000;-0,01238837
-4,60000000;-0,11215234
-4,50000000;-0,21079568
-4,40000000;-0,30733279
-4,30000000;-0,40079912
-4,20000000;-0,49026079
-4,10000000;-0,57482437
-4,00000000;-0,65364390
-3,90000000;-0,72593248
-3,80000000;-0,79096782
-3,70000000;-0,84810010
-3,60000000;-0,89675846
-3,50000000;-0,93645671
-3,40000000;-0,96679781
-3,30000000;-0,98747953
-3,20000000;-0,99829462
-3,10000000;-0,99913506
-3,00000000;-0,98999244
-2,90000000;-0,97095813
-2,80000000;-0,94222232
-2,70000000;-0,90407247
-2,60000000;-0,85688895
-2,50000000;-0,80114374
-2,40000000;-0,73739379
-2,30000000;-0,66627606
-2,20000000;-0,58850114
-2,10000000;-0,50484568
-2,00000000;-0,41614658
-1,90000000;-0,32328942
-1,80000000;-0,22720201
-1,70000000;-0,12884445
-1,60000000;-0,02919950
-1,50000000;0,07073722
-1,40000000;0,16996684
-1,30000000;0,26749866
-1,20000000;0,36235766
-1,10000000;0,45359607
-1,00000000;0,54030228
-0,90000000;0,62160996
-0,80000000;0,69670702
-0,70000000;0,76484235
-0,60000000;0,82533570
-0,50000000;0,87758260
-0,40000000;0,92106101
-0,30000000;0,95533650
-0,20000000;0,98006631
-0,10000000;0,99500404
-0,00000000;0,99999994
0,10000000;0,99500414
0,20000000;0,98006657
0,30000000;0,95533684
0,40000000;0,92106113
0,50000000;0,87758261
0,60000000;0,82533563
0,70000000;0,76484219
0,80000000;0,69670645
0,90000000;0,62160989
1,00000000;0,54030229
1,10000000;0,45359612
1,20000000;0,36235795
1,30000000;0,26749885
1,40000000;0,16996714
1,50000000;0,07073719
1,60000000;-0,02919952
1,70000000;-0,12884419
1,80000000;-0,22720210
1,90000000;-0,32328965
2,00000000;-0,41614684
2,10000000;-0,50484610
2,20000000;-0,58850107
2,30000000;-0,66627586
2,40000000;-0,73739372
2,50000000;-0,80114363
2,60000000;-0,85688879
2,70000000;-0,90407224
2,80000000;-0,94222258
2,90000000;-0,97095816
3,00000000;-0,98999248
3,10000000;-0,99913511
3,20000000;-0,99829469
3,30000000;-0,98747957
3,40000000;-0,96679779
3,50000000;-0,93645670
3,60000000;-0,89675845
3,70000000;-0,84810009
3,80000000;-0,79096784
3,90000000;-0,72593255
4,00000000;-0,65364407
4,10000000;-0,57482393
4,20000000;-0,49026078
4,30000000;-0,40079910
4,40000000;-0,30733274
4,50000000;-0,21079556
4,60000000;-0,11215211
4,70000000;-0,01238868
4,80000000;0,08749895
4,90000000;0,18651230
5,00000000;0,28366207
5,10000000;0,37797754
5,20000000;0,46851633
5,30000000;0,55437436
5,40000000;0,63469291
5,50000000;0,70866983
5,60000000;0,77556598
5,70000000;0,83471295
5,80000000;0,88551978
5,90000000;0,92747887
6,00000000;0,96017026
6,10000000;0,98326839
6,20000000;0,99654202
6,30000000;0,99985851
6,40000000;0,99318472
6,50000000;0,97658731
6,60000000;0,95023261
6,70000000;0,91438318
6,80000000;0,86939755
6,90000000;0,81572519
7,00000000;0,75390240
7,10000000;0,68454689
7,20000000;0,60835167
7,30000000;0,52607749
7,40000000;0,43854729
7,50000000;0,34663525
7,60000000;0,25125974
7,70000000;0,15337370
7,80000000;0,05395517
7,90000000;-0,04600212
8,00000000;-0,14550003
8,10000000;-0,24354416
8,20000000;-0,33915498
8,30000000;-0,43137684
8,40000000;-0,51928864
8,50000000;-0,60201185
8,60000000;-0,67871985
8,70000000;-0,74864665
8,80000000;-0,81109303
8,90000000;-0,86543525
9,00000000;-0,91113037
9,10000000;-0,94772188
9,20000000;-0,97484361
9,30000000;-0,99222531
9,40000000;-0,99969300
9,50000000;-0,99717205
9,60000000;-0,98468763
9,70000000;-0,96236442
9,80000000;-0,93042629
9,90000000;-0,88919119
10,00000000;-0,83907160
