X;Result
-10,00000000;-1,54235113
-9,90000000;-1,94343622
-9,80000000;-2,53882611
-9,70000000;-3,54122252
-9,60000000;-5,64851792
-9,50000000;-13,26889675
-9,40000000;40,35015118
-9,30000000;7,97262432
-9,20000000;4,37365930
-9,10000000;2,96999939
-9,00000000;2,21084663
-8,90000000;1,72734423
-8,80000000;1,38668034
-8,70000000;1,12923227
-8,60000000;0,92418650
-8,50000000;0,75394059
-8,40000000;0,60763962
-8,30000000;0,47815343
-8,20000000;0,36052267
-8,10000000;0,25110497
-8,00000000;0,14706504
-7,90000000;0,04605085
-7,80000000;-0,05403415
-7,70000000;-0,15520994
-7,60000000;-0,25958730
-7,50000000;-0,36954706
-7,40000000;-0,48797517
-7,30000000;-0,61859692
-7,20000000;-0,76650614
-7,10000000;-0,93906242
-7,00000000;-1,14751594
-6,90000000;-1,41021640
-6,80000000;-1,75951034
-6,70000000;-2,25857076
-6,60000000;-3,05010031
-6,50000000;-4,53973298
-6,40000000;-8,52160529
-6,30000000;-59,46618831
-6,20000000;11,99364352
-6,10000000;5,39775839
-6,00000000;3,43635554
-5,90000000;2,48070774
-5,80000000;1,90597394
-5,70000000;1,51577039
-5,60000000;1,22858623
-5,50000000;1,00443480
-5,40000000;0,82132744
-5,30000000;0,66610110
-5,20000000;0,53032336
-5,10000000;0,40826528
-5,00000000;0,29581309
-4,90000000;0,18984368
-4,80000000;0,08783584
-4,70000000;-0,01238932
-4,60000000;-0,11286440
-4,50000000;-0,21564112
-4,40000000;-0,32296357
-4,30000000;-0,43747420
-4,20000000;-0,56249918
-4,10000000;-0,70248119
-4,00000000;-0,86369142
-3,90000000;-1,05549309
-3,80000000;-1,29273120
-3,70000000;-1,60068370
-3,60000000;-2,02648052
-3,50000000;-2,66961788
-3,40000000;-3,78333731
-3,30000000;-6,25994826
-3,20000000;-17,10166711
-3,10000000;24,02882928
-3,00000000;7,01526973
-2,90000000;4,05835595
-2,80000000;2,81270436
-2,70000000;2,11538408
-2,60000000;1,66224389
-2,50000000;1,33864837
-2,40000000;1,09168552
-2,30000000;0,89348428
-2,20000000;0,72789571
-2,10000000;0,58484728
-2,00000000;0,45765726
-1,90000000;0,34163519
-1,80000000;0,23330353
-1,70000000;0,12992744
-1,60000000;0,02921195
-1,50000000;-0,07091486
-1,40000000;-0,17247642
-1,30000000;-0,27761534
-1,20000000;-0,38877939
-1,10000000;-0,50896801
-1,00000000;-0,64209257
-0,90000000;-0,79355112
-0,80000000;-0,97121554
-0,70000000;-1,18724229
-0,60000000;-1,46169617
-0,50000000;-1,83048783
-0,40000000;-2,36522050
-0,30000000;-3,23272770
-0,20000000;-4,93315347
-0,10000000;-9,96665149
-0,00000000;Error
0,10000000;9,96665250
0,20000000;4,93315476
0,30000000;3,23272884
0,40000000;2,36522081
0,50000000;1,83048785
0,60000000;1,46169605
0,70000000;1,18724204
0,80000000;0,97121473
0,90000000;0,79355104
1,00000000;0,64209258
1,10000000;0,50896806
1,20000000;0,38877970
1,30000000;0,27761554
1,40000000;0,17247673
1,50000000;0,07091483
1,60000000;-0,02921198
1,70000000;-0,12992718
1,80000000;-0,23330362
1,90000000;-0,34163544
2,00000000;-0,45765754
2,10000000;-0,58484776
2,20000000;-0,72789563
2,30000000;-0,89348401
2,40000000;-1,09168542
2,50000000;-1,33864818
2,60000000;-1,66224357
2,70000000;-2,11538354
2,80000000;-2,81270513
2,90000000;-4,05835607
3,00000000;-7,01527002
3,10000000;-24,02883056
3,20000000;17,10166814
3,30000000;6,25994856
3,40000000;3,78333723
3,50000000;2,66961785
3,60000000;2,02648050
3,70000000;1,60068369
3,80000000;1,29273122
3,90000000;1,05549319
4,00000000;0,86369166
4,10000000;0,70248064
4,20000000;0,56249918
4,30000000;0,43747417
4,40000000;0,32296351
4,50000000;0,21564100
4,60000000;0,11286418
4,70000000;0,01238964
4,80000000;-0,08783585
4,90000000;-0,18984361
5,00000000;-0,29581293
5,10000000;-0,40826478
5,20000000;-0,53032297
5,30000000;-0,66610115
5,40000000;-0,82132760
5,50000000;-1,00443533
5,60000000;-1,22858638
5,70000000;-1,51577065
5,80000000;-1,90597439
5,90000000;-2,48070847
6,00000000;-3,43635401
6,10000000;-5,39775820
6,20000000;-11,99364294
6,30000000;59,46618481
6,40000000;8,52160480
6,50000000;4,53973289
6,60000000;3,05010034
6,70000000;2,25857079
6,80000000;1,75951036
6,90000000;1,41021640
7,00000000;1,14751588
7,10000000;0,93906225
7,20000000;0,76650661
7,30000000;0,61859692
7,40000000;0,48797518
7,50000000;0,36954710
7,60000000;0,25958739
7,70000000;0,15521011
7,80000000;0,05403388
7,90000000;-0,04605088
8,00000000;-0,14706509
8,10000000;-0,25110508
8,20000000;-0,36052297
8,30000000;-0,47815373
8,40000000;-0,60764015
8,50000000;-0,75394049
8,60000000;-0,92418618
8,70000000;-1,12923216
8,80000000;-1,38668014
8,90000000;-1,72734388
9,00000000;-2,21084603
9,10000000;-2,97000033
9,20000000;-4,37365943
9,30000000;-7,97262466
9,40000000;-40,35015340
9,50000000;13,26889756
9,60000000;5,64851815
9,70000000;3,54122238
9,80000000;2,53882608
9,90000000;1,94343619
10,00000000;1,54235112
