X;Result
-10,00000000;-252132,14493079
-9,99900000;-270962,73821015
-9,99800000;-291241,33392962
-9,99700000;-313082,10502159
-9,99600000;-336608,42965073
-9,99500000;-361953,64862191
-9,99400000;-389261,88629791
-9,99300000;-418688,94044589
-9,99200000;-450403,24690843
-9,99100000;-484586,92550082
-9,99000000;-521436,91409689
-9,98900000;-561166,19847595
-9,98800000;-604005,14615604
-9,98700000;-650202,95316694
-9,98600000;-700029,21349575
-9,98500000;-753775,62178794
-9,98400000;-811757,82082477
-9,98300000;-874317,40630071
-9,98200000;-941824,10253301
-9,98100000;-1014678,12393544
-9,98000000;-1093312,73839761
-9,97900000;-1178197,05013450
-9,97800000;-1269839,02112995
-9,97700000;-1368788,75199187
-9,97600000;-1475642,04488002
-9,97500000;-1591044,27318583
-9,97400000;-1715694,58483279
-9,97300000;-1850350,46847321
-9,97200000;-1995832,71445045
-9,97100000;-2153030,80525900
-9,97000000;-2322908,77333871
-9,96900000;-2506511,56741367
-9,96800000;-2704971,97231412
-9,96700000;-2919518,13122348
-9,96600000;-3151481,72371914
-9,96500000;-3402306,85777368
-9,96400000;-3673559,73912668
-9,96300000;-3966939,18717692
-9,96200000;-4284288,07278663
-9,96100000;-4627605,76022900
-9,96000000;-4999061,64297263
-9,95900000;-5401009,87110560
-9,95800000;-5836005,37718908
-9,95700000;-6306821,31692749
-9,95600000;-6816468,05177813
-9,95500000;-7368213,81218630
-9,95400000;-7965607,19279387
-9,95300000;-8612501,64487043
-9,95200000;-9313082,14638636
-9,95100000;-10071894,24664898
-9,95000000;-10893875,70065489
-9,94900000;-11784390,92800654
-9,94800000;-12749268,55299091
-9,94700000;-13794842,30613870
-9,94600000;-14927995,59340120
-9,94500000;-16156210,06760351
-9,94400000;-17487618,56778741
-9,94300000;-18931062,82600803
-9,94200000;-20496156,37845624
-9,94100000;-22193353,15832885
-9,94000000;-24034022,29257389
-9,93900000;-26030529,67332238
-9,93800000;-28196326,92830078
-9,93700000;-30546048,47306670
-9,93600000;-33095617,39192756
-9,93500000;-35862360,96464112
-9,93400000;-38865136,73306987
-9,93300000;-42124470,08592744
-9,93200000;-45662704,43261769
-9,93100000;-49504165,13791140
-9,93000000;-53675338,50054063
-9,92900000;-58205067,18043839
-9,92800000;-63124763,61275592
-9,92700000;-68468643,09294024
-9,92600000;-74273978,37786107
-9,92500000;-80581377,82414444
-9,92400000;-87435089,27756256
-9,92300000;-94883332,13958356
-9,92200000;-102978660,26981327
-9,92100000;-111778358,63785788
-9,92000000;-121344876,91858860
-9,91900000;-131746303,53270990
-9,91800000;-143056883,97124267
-9,91700000;-155357587,61436790
-9,91600000;-168736727,66182800
-9,91500000;-183290639,23963892
-9,91400000;-199124421,23920003
-9,91300000;-216352747,98514432
-9,91200000;-235100757,42124360
-9,91100000;-255505023,15678173
-9,91000000;-277714618,43193700
-9,90900000;-301892280,84813803
-9,90800000;-328215687,57946960
-9,90700000;-356878851,72838235
-9,90600000;-388093651,54404850
-9,90500000;-422091505,36805520
-9,90400000;-459125206,44627670
-9,90300000;-499470933,13808644
-9,90200000;-543430451,59118950
-9,90100000;-591333529,64221990
-9,90000000;-643540582,56211010
-9,89900000;-700445573,31884220
-9,89800000;-762479192,27969800
-9,89700000;-830112343,76996400
-9,89600000;-903859969,63309960
-9,89500000;-984285242,95986020
-9,89400000;-1072004168,47435720
-9,89300000;-1167690629,72869730
-9,89200000;-1272081927,28813960
-9,89100000;-1385984856,55326750
-9,89000000;-1510282378,74919940
-9,88900000;-1645940944,04145860
-9,88800000;-1794018531,69652500
-9,88700000;-1955673478,78065700
-9,88600000;-2132174176,16052910
-9,88500000;-2324909718,57799340
-9,88400000;-2535401604,40390160
-9,88300000;-2765316590,45248700
-9,88200000;-3016480817,98687360
-9,88100000;-3290895337,96664900
-9,88000000;-3590753176,70342640
-9,87900000;-3918458097,61534000
-9,87800000;-4276645230,77890250
-9,87700000;-4668203759,71551000
-9,87600000;-5096301874,37334600
-9,87500000;-5564414220,95081200
-9,87400000;-6076352103,05254400
-9,87300000;-6636296715,16053000
-9,87200000;-7248835718,58452600
-9,87100000;-7919003502,41960700
-9,87000000;-8652325507,78894600
-9,86900000;-9454867033,18155100
-9,86800000;-10333286982,55980700
-9,86700000;-11294897066,26429200
-9,86600000;-12347727018,46313000
-9,86500000;-13500596454,26437800
-9,86400000;-14763194055,30654700
-9,86300000;-16146164845,64425000
-9,86200000;-17661206400,17239800
-9,86100000;-19321174917,56052800
-9,86000000;-21140202188,40335000
-9,85900000;-23133824599,34250600
-9,85800000;-25319125435,52338800
-9,85700000;-27714891878,75710700
-9,85600000;-30341788248,31569000
-9,85500000;-33222547197,60986300
-9,85400000;-36382180763,73878500
-9,85300000;-39848213371,59463500
-9,85200000;-43650939120,97700000
-9,85100000;-47823705936,71853000
-9,85000000;-52403229441,64881000
-9,84900000;-57429939722,30746000
-9,84800000;-62948364502,22564000
-9,84700000;-69007552620,77191000
-9,84600000;-75661542140,41278000
-9,84500000;-82971541505,36632000
-9,84400000;-91000002791,77470000
-9,84300000;-99820784810,73691000
-9,84200000;-109513636934,81743000
-9,84100000;-120166495416,07816000
-9,84000000;-131876340599,65830000
-9,83900000;-144750145686,67416000
-9,83800000;-158905927020,19714000
-9,83700000;-174473906974,72385000
-9,83600000;-191597801765,35745000
-9,83500000;-210436247865,11040000
-9,83400000;-231164382251,01022000
-9,83300000;-253975593402,02197000
-9,83200000;-279083461874,75836000
-9,83100000;-306723911397,15283000
-9,83000000;-337157593783,19360000
-9,82900000;-370672533601,23047000
-9,82800000;-407587061465,56476000
-9,82700000;-448253068093,19574000
-9,82600000;-493059614921,00540000
-9,82500000;-542436941155,90375000
-9,82400000;-596860911679,64540000
-9,82300000;-656857955309,71530000
-9,82200000;-723010548592,15390000
-9,82100000;-795963306638,10460000
-9,82000000;-876429749594,40840000
-9,81900000;-965199821249,99670000
-9,81800000;-1063148245121,92720000
-9,81700000;-1171243813252,28880000
-9,81600000;-1290559713995,10500000
-9,81500000;-1422285017446,41280000
-9,81400000;-1567737450992,88060000
-9,81300000;-1728377612936,66630000
-9,81200000;-1905824789492,06230000
-9,81100000;-2101874559810,81620000
-9,81000000;-2318518395466,16900000
-9,80900000;-2557965485097,03500000
-9,80800000;-2822667042220,11900000
-9,80700000;-3115343384726,12000000
-9,80600000;-3439014108841,11670000
-9,80500000;-3797031718692,62550000
-9,80400000;-4193119115711,22100000
-9,80300000;-4631411400328,55700000
-9,80200000;-5116502492674,56100000
-9,80100000;-5653497139747,77800000
-9,80000000;-6248068944796,70300000
-9,79900000;-6906525131321,12200000
-9,79800000;-7635878840159,98000000
-9,79700000;-8443929854879,69900000
-9,79600000;-9339354759318,00200000
-9,79500000;-10331807653341,90000000
-9,79400000;-11432032690221,50000000
-9,79300000;-12651989853416,41000000
-9,79200000;-14004995564464,44700000
-9,79100000;-15505879909024,07400000
-9,79000000;-17171162488311,28300000
-9,78900000;-19019249150807,53000000
-9,78800000;-21070652138218,46000000
-9,78700000;-23348236493768,99000000
-9,78600000;-25877495935230,80500000
-9,78500000;-28686861793884,01000000
-9,78400000;-31808049070862,23000000
-9,78300000;-35276444169259,77000000
-9,78200000;-39131539433239,43000000
-9,78100000;-43417420270477,72000000
-9,78000000;-48183311363562,14000000
-9,77900000;-53484189298604,71000000
-9,77800000;-59381469868378,09000000
-9,77700000;-65943779357040,94500000
-9,77600000;-73247820299396,66000000
-9,77500000;-81379343548271,72000000
-9,77400000;-90434239998857,89000000
-9,77300000;-100519767033353,10000000
-9,77200000;-111755926688011,42000000
-9,77100000;-124277014738778,81000000
-9,77000000;-138233362386403,42000000
-9,76900000;-153793295033134,97000000
-9,76800000;-171145335829996,60000000
-9,76700000;-190500685282633,06000000
-9,76600000;-212096012293159,72000000
-9,76500000;-236196596655851,90000000
