X;Result
-10,00000000;Error
-9,99900000;Error
-9,99800000;Error
-9,99700000;Error
-9,99600000;Error
-9,99500000;Error
-9,99400000;Error
-9,99300000;Error
-9,99200000;Error
-9,99100000;Error
-9,99000000;Error
-9,98900000;Error
-9,98800000;Error
-9,98700000;Error
-9,98600000;Error
-9,98500000;Error
-9,98400000;Error
-9,98300000;Error
-9,98200000;Error
-9,98100000;Error
-9,98000000;Error
-9,97900000;Error
-9,97800000;Error
-9,97700000;Error
-9,97600000;Error
-9,97500000;Error
-9,97400000;Error
-9,97300000;Error
-9,97200000;Error
-9,97100000;Error
-9,97000000;Error
-9,96900000;Error
-9,96800000;Error
-9,96700000;Error
-9,96600000;Error
-9,96500000;Error
-9,96400000;Error
-9,96300000;Error
-9,96200000;Error
-9,96100000;Error
-9,96000000;Error
-9,95900000;Error
-9,95800000;Error
-9,95700000;Error
-9,95600000;Error
-9,95500000;Error
-9,95400000;Error
-9,95300000;Error
-9,95200000;Error
-9,95100000;Error
-9,95000000;Error
-9,94900000;Error
-9,94800000;Error
-9,94700000;Error
-9,94600000;Error
-9,94500000;Error
-9,94400000;Error
-9,94300000;Error
-9,94200000;Error
-9,94100000;Error
-9,94000000;Error
-9,93900000;Error
-9,93800000;Error
-9,93700000;Error
-9,93600000;Error
-9,93500000;Error
-9,93400000;Error
-9,93300000;Error
-9,93200000;Error
-9,93100000;Error
-9,93000000;Error
-9,92900000;Error
-9,92800000;Error
-9,92700000;Error
-9,92600000;Error
-9,92500000;Error
-9,92400000;Error
-9,92300000;Error
-9,92200000;Error
-9,92100000;Error
-9,92000000;Error
-9,91900000;Error
-9,91800000;Error
-9,91700000;Error
-9,91600000;Error
-9,91500000;Error
-9,91400000;Error
-9,91300000;Error
-9,91200000;Error
-9,91100000;Error
-9,91000000;Error
-9,90900000;Error
-9,90800000;Error
-9,90700000;Error
-9,90600000;Error
-9,90500000;Error
-9,90400000;Error
-9,90300000;Error
-9,90200000;Error
-9,90100000;Error
-9,90000000;Error
-9,89900000;Error
-9,89800000;Error
-9,89700000;Error
-9,89600000;Error
-9,89500000;Error
-9,89400000;Error
-9,89300000;Error
-9,89200000;Error
-9,89100000;Error
-9,89000000;Error
-9,88900000;Error
-9,88800000;Error
-9,88700000;Error
-9,88600000;Error
-9,88500000;Error
-9,88400000;Error
-9,88300000;Error
-9,88200000;Error
-9,88100000;Error
-9,88000000;Error
-9,87900000;Error
-9,87800000;Error
-9,87700000;Error
-9,87600000;Error
-9,87500000;Error
-9,87400000;Error
-9,87300000;Error
-9,87200000;Error
-9,87100000;Error
-9,87000000;Error
-9,86900000;Error
-9,86800000;Error
-9,86700000;Error
-9,86600000;Error
-9,86500000;Error
-9,86400000;Error
-9,86300000;Error
-9,86200000;Error
-9,86100000;Error
-9,86000000;Error
-9,85900000;Error
-9,85800000;Error
-9,85700000;Error
-9,85600000;Error
-9,85500000;Error
-9,85400000;Error
-9,85300000;Error
-9,85200000;Error
-9,85100000;Error
-9,85000000;Error
-9,84900000;Error
-9,84800000;Error
-9,84700000;Error
-9,84600000;Error
-9,84500000;Error
-9,84400000;Error
-9,84300000;Error
-9,84200000;Error
-9,84100000;Error
-9,84000000;Error
-9,83900000;Error
-9,83800000;Error
-9,83700000;Error
-9,83600000;Error
-9,83500000;Error
-9,83400000;Error
-9,83300000;Error
-9,83200000;Error
-9,83100000;Error
-9,83000000;Error
-9,82900000;Error
-9,82800000;Error
-9,82700000;Error
-9,82600000;Error
-9,82500000;Error
-9,82400000;Error
-9,82300000;Error
-9,82200000;Error
-9,82100000;Error
-9,82000000;Error
-9,81900000;Error
-9,81800000;Error
-9,81700000;Error
-9,81600000;Error
-9,81500000;Error
-9,81400000;Error
-9,81300000;Error
-9,81200000;Error
-9,81100000;Error
-9,81000000;Error
-9,80900000;Error
-9,80800000;Error
-9,80700000;Error
-9,80600000;Error
-9,80500000;Error
-9,80400000;Error
-9,80300000;Error
-9,80200000;Error
-9,80100000;Error
-9,80000000;Error
-9,79900000;Error
-9,79800000;Error
-9,79700000;Error
-9,79600000;Error
-9,79500000;Error
-9,79400000;Error
-9,79300000;Error
-9,79200000;Error
-9,79100000;Error
-9,79000000;Error
-9,78900000;Error
-9,78800000;Error
-9,78700000;Error
-9,78600000;Error
-9,78500000;Error
-9,78400000;Error
-9,78300000;Error
-9,78200000;Error
-9,78100000;Error
-9,78000000;Error
-9,77900000;Error
-9,77800000;Error
-9,77700000;Error
-9,77600000;Error
-9,77500000;Error
-9,77400000;Error
-9,77300000;Error
-9,77200000;Error
-9,77100000;Error
-9,77000000;Error
-9,76900000;Error
