X;Result
-10,00000000;0,54402113
-9,90000000;0,45753557
-9,80000000;0,36647894
-9,70000000;0,27176052
-9,60000000;0,17432672
-9,50000000;0,07515109
-9,40000000;-0,02477544
-9,30000000;-0,12445403
-9,20000000;-0,22288969
-9,10000000;-0,31909824
-9,00000000;-0,41211842
-8,90000000;-0,50102082
-8,80000000;-0,58491717
-8,70000000;-0,66296965
-8,60000000;-0,73439732
-8,50000000;-0,79848723
-8,40000000;-0,85459897
-8,30000000;-0,90217186
-8,20000000;-0,94073057
-8,10000000;-0,96988944
-8,00000000;-0,98935807
-7,90000000;-0,99894126
-7,80000000;-0,99854331
-7,70000000;-0,98816822
-7,60000000;-0,96791967
-7,50000000;-0,93800019
-7,40000000;-0,89870818
-7,30000000;-0,85043665
-7,20000000;-0,79366787
-7,10000000;-0,72896860
-7,00000000;-0,65698646
-6,90000000;-0,57843973
-6,80000000;-0,49411334
-6,70000000;-0,40485035
-6,60000000;-0,31154143
-6,50000000;-0,21511999
-6,40000000;-0,11654902
-6,30000000;-0,01681390
-6,20000000;0,08308919
-6,10000000;0,18216236
-6,00000000;0,27941541
-5,90000000;0,37387661
-5,80000000;0,46460214
-5,70000000;0,55068552
-5,60000000;0,63126695
-5,50000000;0,70554053
-5,40000000;0,77276461
-5,30000000;0,83226752
-5,20000000;0,88345471
-5,10000000;0,92581471
-5,00000000;0,95892383
-4,90000000;0,98245233
-4,80000000;0,99616444
-4,70000000;0,99992315
-4,60000000;0,99369094
-4,50000000;0,97753008
-4,40000000;0,95160205
-4,30000000;0,91616632
-4,20000000;0,87157600
-4,10000000;0,81827725
-4,00000000;0,75680258
-3,90000000;0,68776621
-3,80000000;0,61185792
-3,70000000;0,52983616
-3,60000000;0,44252015
-3,50000000;0,35078305
-3,40000000;0,25554100
-3,30000000;0,15774564
-3,20000000;0,05837411
-3,10000000;-0,04158068
-3,00000000;-0,14111965
-2,90000000;-0,23924913
-2,80000000;-0,33498804
-2,70000000;-0,42737982
-2,60000000;-0,51550134
-2,50000000;-0,59847213
-2,40000000;-0,67546356
-2,30000000;-0,74570541
-2,20000000;-0,80849651
-2,10000000;-0,86320942
-2,00000000;-0,90929745
-1,90000000;-0,94630010
-1,80000000;-0,97384730
-1,70000000;-0,99166465
-1,60000000;-0,99957353
-1,50000000;-0,99749496
-1,40000000;-0,98544972
-1,30000000;-0,96355863
-1,20000000;-0,93203927
-1,10000000;-0,89120743
-1,00000000;-0,84147101
-0,90000000;-0,78332692
-0,80000000;-0,71735572
-0,70000000;-0,64421758
-0,60000000;-0,56464245
-0,50000000;-0,47942553
-0,40000000;-0,38941867
-0,30000000;-0,29552025
-0,20000000;-0,19866933
-0,10000000;-0,09983333
-0,00000000;0,00000000
0,10000000;0,09983333
0,20000000;0,19866933
0,30000000;0,29552025
0,40000000;0,38941867
0,50000000;0,47942553
0,60000000;0,56464245
0,70000000;0,64421758
0,80000000;0,71735572
0,90000000;0,78332692
1,00000000;0,84147101
1,10000000;0,89120743
1,20000000;0,93203927
1,30000000;0,96355863
1,40000000;0,98544972
1,50000000;0,99749496
1,60000000;0,99957353
1,70000000;0,99166465
1,80000000;0,97384730
1,90000000;0,94630010
2,00000000;0,90929745
2,10000000;0,86320942
2,20000000;0,80849651
2,30000000;0,74570541
2,40000000;0,67546356
2,50000000;0,59847213
2,60000000;0,51550134
2,70000000;0,42737982
2,80000000;0,33498804
2,90000000;0,23924913
3,00000000;0,14111965
3,10000000;0,04158068
3,20000000;-0,05837411
3,30000000;-0,15774564
3,40000000;-0,25554100
3,50000000;-0,35078305
3,60000000;-0,44252015
3,70000000;-0,52983616
3,80000000;-0,61185792
3,90000000;-0,68776621
4,00000000;-0,75680258
4,10000000;-0,81827725
4,20000000;-0,87157600
4,30000000;-0,91616632
4,40000000;-0,95160205
4,50000000;-0,97753008
4,60000000;-0,99369094
4,70000000;-0,99992315
4,80000000;-0,99616444
4,90000000;-0,98245233
5,00000000;-0,95892383
5,10000000;-0,92581471
5,20000000;-0,88345471
5,30000000;-0,83226752
5,40000000;-0,77276461
5,50000000;-0,70554053
5,60000000;-0,63126695
5,70000000;-0,55068552
5,80000000;-0,46460214
5,90000000;-0,37387661
6,00000000;-0,27941541
6,10000000;-0,18216236
6,20000000;-0,08308919
6,30000000;0,01681390
6,40000000;0,11654902
6,50000000;0,21511999
6,60000000;0,31154143
6,70000000;0,40485035
6,80000000;0,49411334
6,90000000;0,57843973
7,00000000;0,65698646
7,10000000;0,72896860
7,20000000;0,79366787
7,30000000;0,85043665
7,40000000;0,89870818
7,50000000;0,93800019
7,60000000;0,96791967
7,70000000;0,98816822
7,80000000;0,99854331
7,90000000;0,99894126
8,00000000;0,98935807
8,10000000;0,96988944
8,20000000;0,94073057
8,30000000;0,90217186
8,40000000;0,85459897
8,50000000;0,79848723
8,60000000;0,73439732
8,70000000;0,66296965
8,80000000;0,58491717
8,90000000;0,50102082
9,00000000;0,41211842
9,10000000;0,31909824
9,20000000;0,22288969
9,30000000;0,12445403
9,40000000;0,02477544
9,50000000;-0,07515109
9,60000000;-0,17432672
9,70000000;-0,27176052
9,80000000;-0,36647894
9,90000000;-0,45753557
10,00000000;-0,54402113
