X;Result
-10,00000000;-0,64836079
-9,90000000;-0,51455252
-9,80000000;-0,39388282
-9,70000000;-0,28238835
-9,60000000;-0,17703759
-9,50000000;-0,07536422
-9,40000000;0,02478305
-9,30000000;0,12542921
-9,20000000;0,22864149
-9,10000000;0,33670041
-9,00000000;0,45231541
-8,90000000;0,57892340
-8,80000000;0,72114674
-8,70000000;0,88555740
-8,60000000;1,08203268
-8,50000000;1,32636446
-8,40000000;1,64571232
-8,30000000;2,09137892
-8,20000000;2,77375066
-8,10000000;3,98239825
-8,00000000;6,79971271
-7,90000000;21,71512484
-7,80000000;-18,50681545
-7,70000000;-6,44288623
-7,60000000;-3,85226851
-7,50000000;-2,70601528
-7,40000000;-2,04928462
-7,30000000;-1,61656157
-7,20000000;-1,30462099
-7,10000000;-1,06489194
-7,00000000;-0,87144759
-6,90000000;-0,70911103
-6,80000000;-0,56833994
-6,70000000;-0,44275788
-6,60000000;-0,32785807
-6,50000000;-0,22027727
-6,40000000;-0,11734878
-6,30000000;-0,01681628
-6,20000000;0,08337750
-6,10000000;0,18526209
-6,00000000;0,29100598
-5,90000000;0,40311077
-5,80000000;0,52466614
-5,70000000;0,65973053
-5,60000000;0,81394368
-5,50000000;0,99558478
-5,40000000;1,21754120
-5,30000000;1,50127360
-5,20000000;1,88564200
-5,10000000;2,44938781
-5,00000000;3,38051306
-4,90000000;5,26749153
-4,80000000;11,38487427
-4,70000000;-80,71467741
-4,60000000;-8,86018944
-4,50000000;-4,63733458
-4,40000000;-3,09632450
-4,30000000;-2,28584911
-4,20000000;-1,77778036
-4,10000000;-1,42352567
-4,00000000;-1,15782092
-3,90000000;-0,94742449
-3,80000000;-0,77355602
-3,70000000;-0,62473304
-3,60000000;-0,49346638
-3,50000000;-0,37458544
-3,40000000;-0,26431690
-3,30000000;-0,15974573
-3,20000000;-0,05847383
-3,10000000;0,04161668
-3,00000000;0,14254619
-2,90000000;0,24640520
-2,80000000;0,35552972
-2,70000000;0,47272739
-2,60000000;0,60159644
-2,50000000;0,74702216
-2,40000000;0,91601471
-2,30000000;1,11921387
-2,20000000;1,37382317
-2,10000000;1,70984809
-2,00000000;2,18504125
-1,90000000;2,92709889
-1,80000000;4,28626183
-1,70000000;7,69660380
-1,60000000;34,23256161
-1,50000000;-14,10141661
-1,40000000;-5,79789386
-1,30000000;-3,60210637
-1,20000000;-2,57215278
-1,10000000;-1,96476003
-1,00000000;-1,55740785
-0,90000000;-1,26015826
-0,80000000;-1,02963756
-0,70000000;-0,84228805
-0,60000000;-0,68413671
-0,50000000;-0,54630246
-0,40000000;-0,42279356
-0,30000000;-0,30933629
-0,20000000;-0,20271009
-0,10000000;-0,10033460
-0,00000000;0,00000000
0,10000000;0,10033459
0,20000000;0,20271004
0,30000000;0,30933618
0,40000000;0,42279351
0,50000000;0,54630245
0,60000000;0,68413676
0,70000000;0,84228823
0,80000000;1,02963842
0,90000000;1,26015838
1,00000000;1,55740782
1,10000000;1,96475983
1,20000000;2,57215078
1,30000000;3,60210382
1,40000000;5,79788361
1,50000000;14,10142246
1,60000000;-34,23253050
1,70000000;-7,69661884
1,80000000;-4,28626010
1,90000000;-2,92709680
2,00000000;-2,18503993
2,10000000;-1,70984667
2,20000000;-1,37382333
2,30000000;-1,11921421
2,40000000;-0,91601480
2,50000000;-0,74702227
2,60000000;-0,60159655
2,70000000;-0,47272751
2,80000000;-0,35552962
2,90000000;-0,24640519
3,00000000;-0,14254619
3,10000000;-0,04161667
3,20000000;0,05847383
3,30000000;0,15974572
3,40000000;0,26431691
3,50000000;0,37458545
3,60000000;0,49346638
3,70000000;0,62473305
3,80000000;0,77355600
3,90000000;0,94742440
4,00000000;1,15782061
4,10000000;1,42352678
4,20000000;1,77778038
4,30000000;2,28584923
4,40000000;3,09632502
4,50000000;4,63733706
4,60000000;8,86020724
4,70000000;80,71261879
4,80000000;-11,38487358
4,90000000;-5,26749347
5,00000000;-3,38051485
5,10000000;-2,44939081
5,20000000;-1,88564337
5,30000000;-1,50127349
5,40000000;-1,21754096
5,50000000;-0,99558425
5,60000000;-0,81394358
5,70000000;-0,65973042
5,80000000;-0,52466602
5,90000000;-0,40311065
6,00000000;-0,29100611
6,10000000;-0,18526210
6,20000000;-0,08337750
6,30000000;0,01681628
6,40000000;0,11734879
6,50000000;0,22027728
6,60000000;0,32785807
6,70000000;0,44275787
6,80000000;0,56833993
6,90000000;0,70911103
7,00000000;0,87144763
7,10000000;1,06489213
7,20000000;1,30462019
7,30000000;1,61656156
7,40000000;2,04928455
7,50000000;2,70601500
7,60000000;3,85226724
7,70000000;6,44287908
7,80000000;18,50690563
7,90000000;-21,71511171
8,00000000;-6,79971022
8,10000000;-3,98239654
8,20000000;-2,77374837
8,30000000;-2,09137759
8,40000000;-1,64571088
8,50000000;-1,32636464
8,60000000;-1,08203307
8,70000000;-0,88555749
8,80000000;-0,72114684
8,90000000;-0,57892352
9,00000000;-0,45231553
9,10000000;-0,33670030
9,20000000;-0,22864149
9,30000000;-0,12542921
9,40000000;-0,02478305
9,50000000;0,07536421
9,60000000;0,17703758
9,70000000;0,28238837
9,80000000;0,39388283
9,90000000;0,51455252
10,00000000;0,64836079
